quote,person,together
"When we honestly ask ourselves which person in our lives means the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand.",Henri Nouwen,"""When we honestly ask ourselves which person in our lives means the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand."" --Henri Nouwen"
Never explain - your friends do not need it and your enemies will not believe you anyway.,Elbert Hubbard,"""Never explain - your friends do not need it and your enemies will not believe you anyway."" --Elbert Hubbard"
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.",Albert Schweitzer,"""In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit."" --Albert Schweitzer"
"Each friend represents a world in us, a world not born until they arrive, and it is only by this meeting that a new world is born.",Anais Nin,"""Each friend represents a world in us, a world not born until they arrive, and it is only by this meeting that a new world is born."" --Anais Nin"
I have learned that to be with those I like is enough.,Walt Whitman,"""I have learned that to be with those I like is enough."" --Walt Whitman"
I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.,Plutarch,"""I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better."" --Plutarch"
It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson,"""It is one of the blessings of old friends that you can afford to be stupid with them."" --Ralph Waldo Emerson"
"The bird a nest, the spider a web, man friendship.",William Blake,"""The bird a nest, the spider a web, man friendship."" --William Blake"
A friend to all is a friend to none.,Aristotle,"""A friend to all is a friend to none."" --Aristotle"
You find out who your real friends are when you're involved in a scandal.,Elizabeth Taylor,"""You find out who your real friends are when you're involved in a scandal."" --Elizabeth Taylor"
"The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing... not healing, not curing... that is a friend who cares.",Henri Nouwen,"""The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing... not healing, not curing... that is a friend who cares."" --Henri Nouwen"
"There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you.",Paramahansa Yogananda,"""There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you."" --Paramahansa Yogananda"
Fear makes strangers of people who would be friends.,Shirley MacLaine,"""Fear makes strangers of people who would be friends."" --Shirley MacLaine"
"When you choose your friends, don't be short-changed by choosing personality over character.",W. Somerset Maugham,"""When you choose your friends, don't be short-changed by choosing personality over character."" --W. Somerset Maugham"
"I never considered a difference of opinion in politics, in religion, in philosophy, as cause for withdrawing from a friend.",Thomas Jefferson,"""I never considered a difference of opinion in politics, in religion, in philosophy, as cause for withdrawing from a friend."" --Thomas Jefferson"
"Sweet is the memory of distant friends! Like the mellow rays of the departing sun, it falls tenderly, yet sadly, on the heart.",Washington Irving,"""Sweet is the memory of distant friends! Like the mellow rays of the departing sun, it falls tenderly, yet sadly, on the heart."" --Washington Irving"
"Friends are born, not made.",Henry Adams,"""Friends are born, not made."" --Henry Adams"
"Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.",Oprah Winfrey,"""Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down."" --Oprah Winfrey"
"A single rose can be my garden... a single friend, my world.",Leo Buscaglia,"""A single rose can be my garden... a single friend, my world."" --Leo Buscaglia"
"Friendship is held to be the severest test of character. It is easy, we think, to be loyal to a family and clan, whose blood is in your own veins.",Charles Eastman,"""Friendship is held to be the severest test of character. It is easy, we think, to be loyal to a family and clan, whose blood is in your own veins."" --Charles Eastman"
A friend is a gift you give yourself.,Robert Louis Stevenson,"""A friend is a gift you give yourself."" --Robert Louis Stevenson"
A friend is one who knows you and loves you just the same.,Elbert Hubbard,"""A friend is one who knows you and loves you just the same."" --Elbert Hubbard"
